case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,168642.0,168642.0,0.9294180870056152,0.9259229898452759,145.0,0.9294393062591553,0.9294368028640747
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,361346.0,361346.0,0.9294442534446716,0.9293628931045532,23.0,0.9294718503952026,0.9294825196266174
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,460802.0,460802.0,0.10950010269880295,0.10384316742420197,223.0,0.10622070729732513,0.10950268059968948
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,241922.0,241922.0,0.9294373989105225,0.9127869606018066,67.0,0.9294614791870117,0.9294596910476685
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,460802.0,460802.0,0.10670437663793564,0.10610111802816391,227.0,0.10687679797410965,0.10675179213285446
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,261890.0,261890.0,0.9293128848075867,0.920440673828125,73.0,0.9294317960739136,0.9294010400772095
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,261890.0,261890.0,0.9294801950454712,0.929445207118988,23.0,0.9295444488525391,0.9295536279678345
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,170882.0,170882.0,0.9294463992118835,0.9270436763763428,23.0,0.9294707775115967,0.9294687509536743
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,369922.0,369922.0,0.6549100279808044,0.6511675715446472,67.0,0.6600288152694702,0.6549250483512878
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,312962.0,312962.0,0.09722569584846497,0.09500420093536377,357.0,0.09948388487100601,0.09722793847322464
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.11048425734043121,0.10967962443828583,211.0,0.1105862483382225,0.11065042018890381
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,170882.0,170882.0,0.0928967222571373,0.09204817563295364,333.0,0.09416532516479492,0.09342371672391891
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,239682.0,239682.0,0.6430417895317078,0.6260831356048584,43.0,0.6515374779701233,0.6466576457023621
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,244738.0,244738.0,0.12999227643013,0.12279012054204941,227.0,0.12984943389892578,0.12999525666236877
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,469378.0,469378.0,0.9294124841690063,0.929413914680481,27.0,0.9294378757476807,0.9294385313987732
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,239682.0,239682.0,0.10365698486566544,0.10343969613313675,215.0,0.10509158670902252,0.10494031012058258
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,261890.0,261890.0,0.12333723902702332,0.12231093645095825,173.0,0.12552614510059357,0.12575016915798187
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,369922.0,369922.0,0.2024112343788147,0.14214010536670685,87.0,0.21366006135940552,0.20960192382335663
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,369922.0,369922.0,0.10876387357711792,0.10805143415927887,165.0,0.10968909412622452,0.1091395691037178
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.10004615038633347,0.09981340914964676,263.0,0.10011724382638931,0.10009597986936569
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,477954.0,477954.0,0.9294556379318237,0.929452657699585,23.0,0.9294779300689697,0.9294780492782593
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,352770.0,352770.0,0.12220320850610733,0.0986143946647644,177.0,0.12189674377441406,0.11834204941987991
